epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.2877028536476872,0.9560545454545455,0.06652474966049195,0.9854
2,0.04732662241513079,0.9894909090909091,0.04336980963945389,0.9878
3,0.029864600162614476,0.9927272727272727,0.03637985736131668,0.989
4,0.021739430607990787,0.9945636363636363,0.030533109521865845,0.9916
5,0.014702864720536904,0.9963454545454545,0.028377959775924683,0.9916
6,0.009197151343388991,0.9980545454545454,0.019442085248231888,0.9944
7,0.00646792706373063,0.9987090909090909,0.018074656984210014,0.994
8,0.004922832729362629,0.9994,0.01739683217406273,0.9944
